,Feature,LASSO_Coef,OLS_Coef,P_Value,Conf_Int_Low,Conf_Int_High,VIF,Correlation,Interaction
22,Preventable hospital stays => Preventable Hosp. Rate,0.414422088227907,0.6989707001439472,8.148632003352444e-14,0.5177645530574482,0.8801768472304463,1.8848321440504543,0.26084212801883444,Asthma vs Care Provider
3,(Housing Type/Transportation) Percentage of households with no vehicle available estimate [EP_NOVEH],0.4055820904638119,0.42976395774020554,6.684103868303027e-05,0.21911048984061396,0.6404174256397971,2.54720590848036,0.44344094547290736,Asthma vs Housing
18,HIV prevalence => HIV Prevalence Rate,0.27752535765871744,0.3926010375057486,0.0005524521983360195,0.17024138000861097,0.6149606950028862,2.838172711167853,0.3977250004141283,Asthma vs Other Health
30,State_Minnesota,-0.18082008507152245,-0.3835402015027565,1.746370224781588e-05,-0.5579585299716522,-0.20912187303386076,1.74626869049703,-0.17367217695713802,Asthma vs Unspecified
25,Low birthweight => % LBW,0.05740522492613896,0.3772399755427924,0.000280662252192349,0.17414492210770446,0.5803350289778804,2.3676937022115583,0.23752041725952755,Asthma vs Other Health
15,Demographics => % Hispanic,0.11655396244701019,0.36320547364516387,0.0011394689922154028,0.14475960512530492,0.5816513421650228,2.7391416886582007,0.19988970046524887,Asthma vs Socioeconomic
4,High school graduation => Graduation Rate,-0.13982952095058251,-0.35773847658736163,5.199101565658256e-05,-0.5305017018215388,-0.18497525135318454,1.7132842928871532,-0.26098888046687724,Asthma vs Education
28,State_Louisiana,-0.07544208097883695,-0.3370411213076218,1.694464865503643e-05,-0.4900731741999387,-0.18400906841530495,1.344285876136294,0.02179472891602471,Asthma vs Unspecified
31,State_Missouri,0.08445819716953615,0.32779964333605305,1.2825389399235755e-05,0.18107325736878238,0.4745260293033237,1.2357859925047587,0.06205090222366663,Asthma vs Unspecified
14,"(Household Composition/Disability) Percentage of persons aged 17 and younger estimate MOE, 2014-2018 ACS 2018 DESCRIPTION [MP_AGE17]",-0.1757327889229162,-0.29953060909132045,0.03791195948518692,-0.5823146091322495,-0.016746609050391326,4.59025163469191,-0.259577589075044,Asthma vs Other Health
27,State_Kansas,0.04633832688073305,0.2929185980635334,0.0002784274102958672,0.13530974108299146,0.4505274550440753,1.4258967070242003,-0.02216053931341167,Asthma vs Unspecified
10,COVERAGE ALONE OR IN COMBINATION => Employer-based insurance alone or in combination => 65 years and over,0.05711216829126448,0.21666053484653292,0.024606843207304933,0.027774174566917692,0.40554689512614817,2.0479909038933655,0.2322142387603726,Asthma vs Insurance
0,Longitude,0.08993629129652159,0.2059941719560281,0.03915586224316924,0.01026420261337721,0.40172414129867895,2.199082301702577,0.22585314204574788,Asthma vs Unspecified
7,Motor vehicle crash deaths => MV Mortality Rate,-0.07742254757269021,-0.19260147614356993,0.2457862056663758,-0.5180358539150982,0.1328329016279584,6.0793015203203495,-0.2578874861033673,Asthma vs Other Health
16,"(Housing Type/Transportation) Percentage of persons in group quarters estimate MOE, 2014-2018 ACS [MP_GROUPQ]",-0.012633243765654683,-0.16794901265384574,0.06466774193595251,-0.34613501753634546,0.010236992228654013,1.822527157203328,-0.17456825533554696,Asthma vs Housing
6,(Housing Type/Transportation) Percentage of households with no vehicle available estimate MOE [MP_NOVEH],-0.011831340153406218,-0.15643931470324685,0.19265871917849692,-0.3919176429081077,0.07903901350161405,3.1829419264095518,-0.19921787142099015,Asthma vs Housing
8,Severe housing cost burden => % Severe Housing Cost Burden,0.09401876277539367,0.15612283594531978,0.47297367465217544,-0.2705968768791188,0.5828425487697584,10.452308978474468,0.3963212914397612,Asthma vs Housing
12,Demographics => # African American,0.03304388090034139,0.14915120476309152,0.1976035709288326,-0.07785841311458078,0.3761608226407638,2.9581169671683365,0.38933247127737963,Asthma vs Socioeconomic
29,State_Massachusetts,0.0023089772540496574,0.14354040330911924,0.04419133158309409,0.0037380677952252306,0.28334273882301325,1.1219039591354858,0.11485395563451477,Asthma vs Unspecified
13,"(Socioeconomic) Per capita income estimate MOE, 2014-2018 ACS [M_PCI]",-0.0024933209685445612,0.12917575491543173,0.2982475420729709,-0.1143781384697089,0.37272964830057237,3.4049989328315506,-0.2989181732007924,Asthma vs Socioeconomic
24,COVERAGE ALONE OR IN COMBINATION => Medicare coverage alone or in combination => Under 19,0.029000077182584183,0.1278926019900487,0.06977774956864763,-0.01035841166512963,0.26614361564522704,1.09714360398834,0.15039706171289705,Asthma vs Insurance
11,Insufficient sleep => % Insufficient Sleep,0.216954317790915,0.11790653244032333,0.31174289696542445,-0.1106942118580982,0.3465072767387449,2.999729591653484,0.41526751369394926,Asthma vs Unspecified
5,COVERAGE ALONE OR IN COMBINATION => Direct-purchase insurance alone or in combination => 65 years and over,-0.05272454242743428,0.11501379791998272,0.33121318023552293,-0.11713918558741486,0.3471667814273803,3.0936798304829494,-0.38949265543943457,Asthma vs Insurance
2,"(Household Composition/Disability) Civilian noninstitutiona lized population with a disability estimate MOE, 2014-2018 ACS [M_DISABL]",0.2876787490948731,0.1006028309176468,0.523953531012681,-0.20906139804966403,0.4102670598849576,5.504386336890093,0.42255302642565656,Asthma vs Other Health
26,State_Iowa,-0.0002996937900779544,-0.09046499979125217,0.2693732177812986,-0.2510956368910593,0.07016563730855499,1.4810973024279483,-0.13999512663668484,Asthma vs Unspecified
1,"Value_Pollutant: 1,3-butadiene",0.01599703637273014,0.08714669999180605,0.4523336025893586,-0.14030427767269724,0.3145976776563093,2.969630691354827,0.350830477224739,Asthma vs Pollution
